"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Hotelling's Law.nlogox"
"Baseline"
"05/15/2026 17:14:53:642 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","layout","number-of-stores","rules","[step]","ticks","store-positions","store-market-shares","store-prices"
"140","plane","4","normal","10","10","[[0 -12 -1] [2 -7 -5] [1 3 9] [3 10 -3]]","[[0 415] [2 462] [1 398] [3 406]]","[[0 9] [2 9] [1 14] [3 14]]"
"141","plane","4","moving-only","10","10","[[0 -11 -9] [1 0 7] [2 15 -13] [3 -11 -9]]","[[0 241] [1 809] [2 381] [3 250]]","[[0 10] [1 10] [2 10] [3 10]]"
"139","plane","4","normal","10","10","[[1 -9 10] [0 -9 0] [2 5 -2] [3 11 3]]","[[1 293] [0 435] [2 502] [3 451]]","[[1 14] [0 12] [2 10] [3 10]]"
"142","plane","4","moving-only","10","10","[[3 10 -3] [2 -5 8] [0 -4 -5] [1 3 -16]]","[[3 465] [2 565] [0 390] [1 261]]","[[3 10] [2 10] [0 10] [1 10]]"
"145","plane","4","moving-only","10","10","[[1 3 -5] [3 -7 11] [0 9 0] [2 -3 6]]","[[1 575] [3 372] [0 448] [2 286]]","[[1 10] [3 10] [0 10] [2 10]]"
"144","plane","4","moving-only","10","10","[[0 -11 3] [2 -11 3] [1 12 14] [3 7 -4]]","[[0 347] [2 343] [1 350] [3 641]]","[[0 10] [2 10] [1 10] [3 10]]"
"147","plane","4","moving-only","10","10","[[3 -12 -9] [0 5 -12] [1 6 -4] [2 1 1]]","[[3 416] [0 298] [1 285] [2 682]]","[[3 10] [0 10] [1 10] [2 10]]"
"148","plane","4","moving-only","10","10","[[3 -5 6] [2 -1 12] [1 11 -7] [0 -12 -11]]","[[3 352] [2 416] [1 526] [0 387]]","[[3 10] [2 10] [1 10] [0 10]]"
"143","plane","4","moving-only","10","10","[[2 9 -2] [0 -5 10] [1 -7 6] [3 18 -5]]","[[2 547] [0 361] [1 529] [3 244]]","[[2 10] [0 10] [1 10] [3 10]]"
"149","plane","4","moving-only","10","10","[[0 -14 10] [2 8 6] [1 0 -7] [3 8 8]]","[[0 404] [2 246] [1 717] [3 314]]","[[0 10] [2 10] [1 10] [3 10]]"
